userId,subscriptionBalance,paymentBalance,timestamp
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',432.091,840.091,2023-12-21 21:01:15.996000+00:00
'94e55883-fe72-4243-b801-72206e4cef0a',900.0,2610.0,2023-12-22 21:01:51.946000+00:00
'918122aa-3a94-4a48-8a42-ebf049fa6fb9',149.0,453.0,2023-12-23 21:01:01.926000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',423.091,831.091,2023-12-23 21:01:01.926000+00:00
'cac838c5-a9e1-41b1-877e-2587cbea7b20',11635.93,13396.93,2023-12-23 21:01:03.944000+00:00
'94e55883-fe72-4243-b801-72206e4cef0a',810.0,2520.0,2023-12-23 21:01:03.944000+00:00
'94e55883-fe72-4243-b801-72206e4cef0a',720.0,2430.0,2023-12-24 21:01:09.984000+00:00
'918122aa-3a94-4a48-8a42-ebf049fa6fb9',141.0,445.0,2023-12-24 21:01:09.984000+00:00
'34d90c4b-3fc8-43e7-b9ae-e41cf4ba2127',2160.0,2160.0,2023-12-24 06:15:29.779000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',414.091,822.091,2023-12-24 21:01:19.992000+00:00
'cac838c5-a9e1-41b1-877e-2587cbea7b20',11626.93,13387.93,2023-12-24 21:09:29.347000+00:00
'cac838c5-a9e1-41b1-877e-2587cbea7b20',11617.93,13378.93,2023-12-25 21:01:02.446000+00:00
'6a1eab48-c690-4745-b5f1-3a51242ed793',179.0,1107.2,2023-12-25 21:01:02.446000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',405.091,813.091,2023-12-25 21:01:02.446000+00:00
'e11c95b2-2f68-4c79-9cd1-47cd978c81b5',252.0,234.0,2023-12-25 11:11:09.613000+00:00
'b851dd0c-b4b0-41d4-814a-172752d504d9',252.0,234.0,2023-12-25 11:41:08.739000+00:00
'92496dd0-1cd1-4e26-a2d2-ad108d5942df',100.0,102.5,2023-12-25 10:29:35.127000+00:00
'92496dd0-1cd1-4e26-a2d2-ad108d5942df',100.5,102.5,2023-12-25 10:29:35.127000+00:00
'92496dd0-1cd1-4e26-a2d2-ad108d5942df',101.0,102.5,2023-12-25 10:29:35.127000+00:00
'92496dd0-1cd1-4e26-a2d2-ad108d5942df',101.5,102.5,2023-12-25 10:29:35.127000+00:00
'94e55883-fe72-4243-b801-72206e4cef0a',630.0,2340.0,2023-12-25 21:01:02.338000+00:00
'918122aa-3a94-4a48-8a42-ebf049fa6fb9',133.0,437.0,2023-12-25 21:01:02.338000+00:00
'cac838c5-a9e1-41b1-877e-2587cbea7b20',11608.93,13369.93,2023-12-26 21:01:35.890000+00:00
'daa2bf74-cf31-4552-9e85-acb48a7c3f90',396.091,804.091,2023-12-26 21:01:02.468000+00:00
'94e55883-fe72-4243-b801-72206e4cef0a',540.0,2250.0,2023-12-26 21:01:02.468000+00:00
'e8062346-faa2-400f-a070-a970fc4caab4',1.0,1628.755,2023-12-27 12:48:38.699000+00:00
'e8062346-faa2-400f-a070-a970fc4caab4',161.455,1600.663,2023-12-27 12:48:38.699000+00:00
'e8062346-faa2-400f-a070-a970fc4caab4',152.091,1591.299,2023-12-27 12:48:38.699000+00:00
'e8062346-faa2-400f-a070-a970fc4caab4',142.727,1591.299,2023-12-27 12:48:38.699000+00:00
'e8062346-faa2-400f-a070-a970fc4caab4',133.363,1591.299,2023-12-27 12:48:38.699000+00:00
'f8c629ff-e140-4e26-b38c-f99d237959da',1630.0,11720.0,2023-12-27 09:58:11.399000+00:00
'f8c629ff-e140-4e26-b38c-f99d237959da',1650.0,11740.0,2023-12-27 09:41:24.191000+00:00
'f8c629ff-e140-4e26-b38c-f99d237959da',1640.0,11735.0,2023-12-27 09:41:24.191000+00:00
'f8c629ff-e140-4e26-b38c-f99d237959da',1635.0,11725.0,2023-12-27 09:48:42.210000+00:00
'f8c629ff-e140-4e26-b38c-f99d237959da',1643.7,11748.93,2023-12-27 11:26:51.989000+00:00
'f8c629ff-e140-4e26-b38c-f99d237959da',1635.0,11738.7,2023-12-27 11:26:51.989000+00:00
